#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
354,BanetteMega Banette,Ghost,,555,64,165,75,93,83,75,3,FALSE
355,Duskull,Ghost,,295,20,40,90,30,90,25,3,FALSE
356,Dusclops,Ghost,,455,40,70,130,60,130,25,3,FALSE
357,Tropius,Grass,Flying,460,99,68,83,72,87,51,3,FALSE
358,Chimecho,Psychic,,425,65,50,70,95,80,65,3,FALSE
359,Absol,Dark,,465,65,130,60,75,60,75,3,FALSE
359,AbsolMega Absol,Dark,,565,65,150,60,115,60,115,3,FALSE
360,Wynaut,Psychic,,260,95,23,48,23,48,23,3,FALSE
361,Snorunt,Ice,,300,50,50,50,50,50,50,3,FALSE
362,Glalie,Ice,,480,80,80,80,80,80,80,3,FALSE
362,GlalieMega Glalie,Ice,,580,80,120,80,120,80,100,3,FALSE
363,Spheal,Ice,Water,290,70,40,50,55,50,25,3,FALSE
364,Sealeo,Ice,Water,410,90,60,70,75,70,45,3,FALSE
365,Walrein,Ice,Water,530,110,80,90,95,90,65,3,FALSE
366,Clamperl,Water,,345,35,64,85,74,55,32,3,FALSE
367,Huntail,Water,,485,55,104,105,94,75,52,3,FALSE
368,Gorebyss,Water,,485,55,84,105,114,75,52,3,FALSE
369,Relicanth,Water,Rock,485,100,90,130,45,65,55,3,FALSE
370,Luvdisc,Water,,330,43,30,55,40,65,97,3,FALSE
371,Bagon,Dragon,,300,45,75,60,40,30,50,3,FALSE
372,Shelgon,Dragon,,420,65,95,100,60,50,50,3,FALSE
373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,FALSE
373,SalamenceMega Salamence,Dragon,Flying,700,95,145,130,120,90,120,3,FALSE
374,Beldum,Steel,Psychic,300,40,55,80,35,60,30,3,FALSE
375,Metang,Steel,Psychic,420,60,75,100,55,80,50,3,FALSE
376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,FALSE
376,MetagrossMega Metagross,Steel,Psychic,700,80,145,150,105,110,110,3,FALSE
377,Regirock,Rock,,580,80,100,200,50,100,50,3,TRUE
378,Regice,Ice,,580,80,50,100,100,200,50,3,TRUE
379,Registeel,Steel,,580,80,75,150,75,150,50,3,TRUE
380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,3,TRUE
380,LatiasMega Latias,Dragon,Psychic,700,80,100,120,140,150,110,3,TRUE
381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,3,TRUE
381,LatiosMega Latios,Dragon,Psychic,700,80,130,100,160,120,110,3,TRUE
382,Kyogre,Water,,670,100,100,90,150,140,90,3,TRUE
382,KyogrePrimal Kyogre,Water,,770,100,150,90,180,160,90,3,TRUE
383,Groudon,Ground,,670,100,150,140,100,90,90,3,TRUE
383,GroudonPrimal Groudon,Ground,Fire,770,100,180,160,150,90,90,3,TRUE
384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,3,TRUE
384,RayquazaMega Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,3,TRUE
385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,TRUE
386,DeoxysNormal Forme,Psychic,,600,50,150,50,150,50,150,3,TRUE
386,DeoxysAttack Forme,Psychic,,600,50,180,20,180,20,150,3,TRUE
386,DeoxysDefense Forme,Psychic,,600,50,70,160,70,160,90,3,TRUE
386,DeoxysSpeed Forme,Psychic,,600,50,95,90,95,90,180,3,TRUE
